identificacion,nombre,apellido,telefono,modalidad,cantidad_asignaturas,estado,serial,rol
20123456,Bruno,Ledezma,4241230011,Virtual,4,ACTIVO,,Estudiante
20234567,Isabel,Coronado,4161230012,Presencial,5,ACTIVO,,Estudiante
20345678,Raúl,Bermúdez,4261230013,Mixta,6,ACTIVO,,Estudiante
20456789,Camila,Quintero,4121230014,Virtual,3,ACTIVO,,Estudiante
20567890,Tomás,Villalobos,4131230015,Presencial,7,ACTIVO,tg002,Estudiante
20678901,Adriana,Mujica,4171230016,Mixta,4,ACTIVO,,Estudiante
20789012,Erick,Paredes,4271230017,Virtual,5,ACTIVO,tg006,Estudiante
20890123,Jimena,Rojas,4181230018,Presencial,6,ACTIVO,,Estudiante
20901234,Samuel,Valera,4301230019,Mixta,4,ACTIVO,,Estudiante
21012345,Julieta,Beltrán,4191230020,Virtual,5,ACTIVO,,Estudiante
21123456,Renzo,Carrillo,4101230021,Presencial,3,ACTIVO,,Estudiante
21234567,Daniela,Delgado,4211230022,Mixta,6,ACTIVO,tg003,Estudiante
21345678,Alonso,Espinoza,4111230023,Virtual,4,ACTIVO,,Estudiante
21456789,Paula,Mendoza,4221230024,Presencial,5,ACTIVO,,Estudiante
21567890,Martín,Zambrano,4131230025,Mixta,3,ACTIVO,,Estudiante
21678901,Victoria,Serrano,4311230026,Virtual,6,ACTIVO,,Estudiante
21789012,Hugo,Mejía,4141230027,Presencial,4,ACTIVO,,Estudiante
21890123,Renata,Gil,4151230028,Mixta,5,ACTIVO,,Estudiante
21901234,Leonardo,Benítez,4231230029,Virtual,6,ACTIVO,tg009,Estudiante
22012345,Florencia,Peña,4161230030,Presencial,4,ACTIVO,tg001,Estudiante
78546214,Sara,Manrique,546565131,Presencial,10,ACTIVO,,Estudiante
789456,Carlos,Jaramillo,45678945,Mixta,8,ACTIVO,,Estudiante
