identificacion,nombre,apellido,telefono,semestre,promedio,estado,serial,rol
10123456,Carlos,Ruiz,4141234567,3,14.5,ACTIVO,,Estudiante
10234567,Ana,Pérez,4161234568,2,16.8,ACTIVO,,Estudiante
10345678,José,Moreno,4241234569,1,13.2,ACTIVO,,Estudiante
10456789,Luisa,Gómez,4261234570,4,17.4,ACTIVO,,Estudiante
10567890,Mario,Díaz,4121234571,5,12.7,ACTIVO,,Estudiante
10678901,Elena,Castro,4131234572,6,18.0,INACTIVO,,Estudiante
10789012,Pedro,Martínez,4271234573,3,14.1,ACTIVO,,Estudiante
10890123,Lucía,Ramírez,4281234574,7,15.5,ACTIVO,,Estudiante
10901234,Andrés,Fernández,4141234575,2,13.9,ACTIVO,cp001,Estudiante
11012345,Sofía,Hernández,4151234576,8,17.8,ACTIVO,,Estudiante
11123456,Diego,Alvarez,4291234577,1,11.5,INACTIVO,,Estudiante
11234567,Claudia,Núñez,4161234578,4,16.0,ACTIVO,,Estudiante
11345678,Daniel,Torres,4301234579,5,13.4,ACTIVO,,Estudiante
11456789,Valeria,López,4171234580,6,19.0,ACTIVO,,Estudiante
11567890,Esteban,Sánchez,4181234581,3,14.7,ACTIVO,,Estudiante
11678901,María,Jiménez,4211234582,7,17.1,ACTIVO,,Estudiante
11789012,Javier,Silva,4231234583,8,12.9,ACTIVO,,Estudiante
11890123,Camilla,Reyes,4191234584,2,15.2,ACTIVO,,Estudiante
11901234,Ricardo,Molina,4311234585,5,16.3,ACTIVO,,Estudiante
12012345,Natalia,Castro,4101234586,1,13.0,ACTIVO,cp004,Estudiante
123456,Yeison,Henao,312321315,5,4.5,ACTIVO,,Estudiante
123456789,Karen,Valenzuela,321346445,5,5,ACTIVO,cp009,Estudiante
